Local time,Open,High,Low,Close,Volume
24.07.2020 05:00:00.000 GMT+0800,1.15959,1.16580,1.15812,1.16546,414395.3563
27.07.2020 05:00:00.000 GMT+0800,1.16430,1.17813,1.16413,1.17510,340905.59719999996
28.07.2020 05:00:00.000 GMT+0800,1.17512,1.17736,1.16987,1.17150,345127.89690000005
29.07.2020 05:00:00.000 GMT+0800,1.17148,1.18061,1.17118,1.17907,338594.79219999997
30.07.2020 05:00:00.000 GMT+0800,1.17910,1.18482,1.17308,1.18467,336437.8065
31.07.2020 05:00:00.000 GMT+0800,1.18465,1.19087,1.17617,1.17753,580493.2094000002
03.08.2020 05:00:00.000 GMT+0800,1.17725,1.17966,1.16959,1.17617,314524.6608
04.08.2020 05:00:00.000 GMT+0800,1.17633,1.18059,1.17211,1.18028,430308.77009999997
05.08.2020 05:00:00.000 GMT+0800,1.18026,1.19048,1.17929,1.18629,1048544.3638000002
06.08.2020 05:00:00.000 GMT+0800,1.18627,1.19160,1.18179,1.18763,1292643.1381
07.08.2020 05:00:00.000 GMT+0800,1.18763,1.18828,1.17551,1.17862,434629.11260000005
10.08.2020 05:00:00.000 GMT+0800,1.17886,1.18006,1.17359,1.17371,301512.8612
11.08.2020 05:00:00.000 GMT+0800,1.17373,1.18080,1.17219,1.17395,586722.8837000001
12.08.2020 05:00:00.000 GMT+0800,1.17395,1.18170,1.17110,1.17835,626910.6561
13.08.2020 05:00:00.000 GMT+0800,1.17835,1.18641,1.17796,1.18131,452405.64350000006
14.08.2020 05:00:00.000 GMT+0800,1.18126,1.18503,1.17817,1.18414,334420.3121
17.08.2020 05:00:00.000 GMT+0800,1.18389,1.18809,1.18286,1.18698,301857.7687
18.08.2020 05:00:00.000 GMT+0800,1.18698,1.19656,1.18658,1.19305,323407.4814
19.08.2020 05:00:00.000 GMT+0800,1.19306,1.19526,1.18302,1.18385,529791.385
20.08.2020 05:00:00.000 GMT+0800,1.18396,1.18686,1.18019,1.18599,429140.3609
21.08.2020 05:00:00.000 GMT+0800,1.18599,1.18828,1.17541,1.17949,388376.97390000004
24.08.2020 05:00:00.000 GMT+0800,1.17911,1.18495,1.17841,1.17873,217817.74249999996
25.08.2020 05:00:00.000 GMT+0800,1.17871,1.18435,1.17841,1.18343,420332.1848000001
26.08.2020 05:00:00.000 GMT+0800,1.18340,1.18391,1.17721,1.18298,275299.32289999997
27.08.2020 05:00:00.000 GMT+0800,1.18297,1.19018,1.17623,1.18215,465558.4992
28.08.2020 05:00:00.000 GMT+0800,1.18215,1.19197,1.18109,1.19018,572861.7089
31.08.2020 05:00:00.000 GMT+0800,1.18998,1.19660,1.18840,1.19361,998345.731
01.09.2020 05:00:00.000 GMT+0800,1.19358,1.20113,1.19013,1.19113,375627.6456
02.09.2020 05:00:00.000 GMT+0800,1.19112,1.19287,1.18221,1.18547,727000.7346
