Local time,Open,High,Low,Close,Volume
24.07.2020 05:00:00.000 GMT+0800,1.15969,1.16583,1.15815,1.16565,343035.278
27.07.2020 05:00:00.000 GMT+0800,1.16466,1.17816,1.16424,1.17522,323027.8488
28.07.2020 05:00:00.000 GMT+0800,1.17529,1.17739,1.16990,1.17167,414808.7975
29.07.2020 05:00:00.000 GMT+0800,1.17168,1.18068,1.17144,1.17917,356962.0408
30.07.2020 05:00:00.000 GMT+0800,1.17920,1.18485,1.17311,1.18478,376449.78200000006
31.07.2020 05:00:00.000 GMT+0800,1.18475,1.19091,1.17618,1.17839,406889.6009999999
03.08.2020 05:00:00.000 GMT+0800,1.17758,1.17971,1.16961,1.17626,294614.9833999999
04.08.2020 05:00:00.000 GMT+0800,1.17634,1.18060,1.17215,1.18030,448415.00409999996
05.08.2020 05:00:00.000 GMT+0800,1.18030,1.19051,1.17932,1.18639,943257.4683000002
06.08.2020 05:00:00.000 GMT+0800,1.18639,1.19163,1.18181,1.18769,720727.7676000003
07.08.2020 05:00:00.000 GMT+0800,1.18771,1.18833,1.17555,1.17892,370421.1605
10.08.2020 05:00:00.000 GMT+0800,1.17923,1.18010,1.17364,1.17387,332699.87059999997
11.08.2020 05:00:00.000 GMT+0800,1.17389,1.18081,1.17223,1.17404,466341.77829999983
12.08.2020 05:00:00.000 GMT+0800,1.17406,1.18171,1.17112,1.17849,409565.5704
13.08.2020 05:00:00.000 GMT+0800,1.17850,1.18643,1.17808,1.18141,342018.53500000003
14.08.2020 05:00:00.000 GMT+0800,1.18141,1.18506,1.17820,1.18434,333795.29850000003
17.08.2020 05:00:00.000 GMT+0800,1.18467,1.18813,1.18290,1.18711,223859.32560000004
18.08.2020 05:00:00.000 GMT+0800,1.18712,1.19660,1.18671,1.19317,340791.06410000013
19.08.2020 05:00:00.000 GMT+0800,1.19317,1.19531,1.18306,1.18390,486644.5938
20.08.2020 05:00:00.000 GMT+0800,1.18400,1.18690,1.18024,1.18609,545993.1150000001
21.08.2020 05:00:00.000 GMT+0800,1.18610,1.18831,1.17543,1.17974,412721.38910000003
